sim_number	sample_id	sim_file	m_kinetics_isotype_1_scheme_2_transition_2_parameter_1
701	705	../simulations/n_vars_1\sim_data\sample_705\sim_output\1\sim_prot_1_1_r1.txt	171.3936274720033
702	706	../simulations/n_vars_1\sim_data\sample_706\sim_output\1\sim_prot_1_1_r1.txt	74.13001227057548
703	707	../simulations/n_vars_1\sim_data\sample_707\sim_output\1\sim_prot_1_1_r1.txt	317.6765117963002
704	708	../simulations/n_vars_1\sim_data\sample_708\sim_output\1\sim_prot_1_1_r1.txt	173.8447384028685
705	709	../simulations/n_vars_1\sim_data\sample_709\sim_output\1\sim_prot_1_1_r1.txt	89.47387844688878
706	710	../simulations/n_vars_1\sim_data\sample_710\sim_output\1\sim_prot_1_1_r1.txt	65.57091678489833
707	711	../simulations/n_vars_1\sim_data\sample_711\sim_output\1\sim_prot_1_1_r1.txt	253.6510426433405
708	712	../simulations/n_vars_1\sim_data\sample_712\sim_output\1\sim_prot_1_1_r1.txt	299.7170362109532
709	713	../simulations/n_vars_1\sim_data\sample_713\sim_output\1\sim_prot_1_1_r1.txt	65.65859191526683
710	714	../simulations/n_vars_1\sim_data\sample_714\sim_output\1\sim_prot_1_1_r1.txt	63.62981417711795
711	715	../simulations/n_vars_1\sim_data\sample_715\sim_output\1\sim_prot_1_1_r1.txt	382.5889974355335
712	716	../simulations/n_vars_1\sim_data\sample_716\sim_output\1\sim_prot_1_1_r1.txt	153.68899446004
713	717	../simulations/n_vars_1\sim_data\sample_717\sim_output\1\sim_prot_1_1_r1.txt	576.5831658731423
714	718	../simulations/n_vars_1\sim_data\sample_718\sim_output\1\sim_prot_1_1_r1.txt	215.2558606202221
715	719	../simulations/n_vars_1\sim_data\sample_719\sim_output\1\sim_prot_1_1_r1.txt	156.3719292066875
716	720	../simulations/n_vars_1\sim_data\sample_720\sim_output\1\sim_prot_1_1_r1.txt	359.8832323274291
717	721	../simulations/n_vars_1\sim_data\sample_721\sim_output\1\sim_prot_1_1_r1.txt	275.7840685569186
718	722	../simulations/n_vars_1\sim_data\sample_722\sim_output\1\sim_prot_1_1_r1.txt	452.2115176270125
719	723	../simulations/n_vars_1\sim_data\sample_723\sim_output\1\sim_prot_1_1_r1.txt	586.3640637823768
720	724	../simulations/n_vars_1\sim_data\sample_724\sim_output\1\sim_prot_1_1_r1.txt	126.0779887902558
721	725	../simulations/n_vars_1\sim_data\sample_725\sim_output\1\sim_prot_1_1_r1.txt	191.1253022989535
722	726	../simulations/n_vars_1\sim_data\sample_726\sim_output\1\sim_prot_1_1_r1.txt	217.4078415049378
723	727	../simulations/n_vars_1\sim_data\sample_727\sim_output\1\sim_prot_1_1_r1.txt	285.0702660532107
724	728	../simulations/n_vars_1\sim_data\sample_728\sim_output\1\sim_prot_1_1_r1.txt	307.5330770207071
725	729	../simulations/n_vars_1\sim_data\sample_729\sim_output\1\sim_prot_1_1_r1.txt	335.1812109681345
