sim_number	sample_id	sim_file	m_kinetics_isotype_1_scheme_2_transition_2_parameter_1	m_kinetics_isotype_1_scheme_3_transition_2_parameter_1	Ca_transient_k_act
1	1	../simulations/n_vars_3\sim_data\sample_1\sim_output\1\sim_prot_1_1_r1.txt	346.7419222009078	278.0783110072277	0.1335136082935523
2	2	../simulations/n_vars_3\sim_data\sample_2\sim_output\1\sim_prot_1_1_r1.txt	456.1762773156844	285.3936996794303	0.02837704699933451
3	3	../simulations/n_vars_3\sim_data\sample_3\sim_output\1\sim_prot_1_1_r1.txt	170.3627298469167	161.9010428137117	0.07425311286365319
4	4	../simulations/n_vars_3\sim_data\sample_4\sim_output\1\sim_prot_1_1_r1.txt	500.0056103968842	501.8350816333919	0.215148125082487
5	5	../simulations/n_vars_3\sim_data\sample_5\sim_output\1\sim_prot_1_1_r1.txt	180.4556699539052	169.2353901467204	0.03084661142760466
6	6	../simulations/n_vars_3\sim_data\sample_6\sim_output\1\sim_prot_1_1_r1.txt	148.6356545165229	293.6296861775853	0.09484351181114972
7	7	../simulations/n_vars_3\sim_data\sample_7\sim_output\1\sim_prot_1_1_r1.txt	249.243066117223	136.001412101459	0.02644314601027905
8	8	../simulations/n_vars_3\sim_data\sample_8\sim_output\1\sim_prot_1_1_r1.txt	350.3234249879301	365.6770143483084	0.04343625539211308
9	9	../simulations/n_vars_3\sim_data\sample_9\sim_output\1\sim_prot_1_1_r1.txt	290.4736094102502	515.9628874075178	0.2586612658838843
10	10	../simulations/n_vars_3\sim_data\sample_10\sim_output\1\sim_prot_1_1_r1.txt	124.8752047315942	707.5330647812503	0.2108016478964468
11	11	../simulations/n_vars_3\sim_data\sample_11\sim_output\1\sim_prot_1_1_r1.txt	529.660832126406	714.2270810398876	0.04271366850889574
12	12	../simulations/n_vars_3\sim_data\sample_12\sim_output\1\sim_prot_1_1_r1.txt	458.6449642038748	592.7097040912333	0.0654604907699926
13	14	../simulations/n_vars_3\sim_data\sample_14\sim_output\1\sim_prot_1_1_r1.txt	73.266474875168	193.5465293485253	0.1393505177675295
14	15	../simulations/n_vars_3\sim_data\sample_15\sim_output\1\sim_prot_1_1_r1.txt	203.1627644291827	830.8982599032183	0.03034828049148956
15	16	../simulations/n_vars_3\sim_data\sample_16\sim_output\1\sim_prot_1_1_r1.txt	138.6790966129498	328.886666207611	0.04767687613185802
16	17	../simulations/n_vars_3\sim_data\sample_17\sim_output\1\sim_prot_1_1_r1.txt	85.65133798396452	141.3932870581556	0.09918529253743202
17	18	../simulations/n_vars_3\sim_data\sample_18\sim_output\1\sim_prot_1_1_r1.txt	175.1684155959315	1065.822322505321	0.2559818209070215
18	19	../simulations/n_vars_3\sim_data\sample_19\sim_output\1\sim_prot_1_1_r1.txt	421.3542199339104	193.1545482911554	0.06517835546267946
19	20	../simulations/n_vars_3\sim_data\sample_20\sim_output\1\sim_prot_1_1_r1.txt	92.32247288432261	522.775191949537	0.03333266464359144
20	21	../simulations/n_vars_3\sim_data\sample_21\sim_output\1\sim_prot_1_1_r1.txt	100.5731143904264	616.6714759935736	0.04330344127315766
21	22	../simulations/n_vars_3\sim_data\sample_22\sim_output\1\sim_prot_1_1_r1.txt	505.3475644045411	128.3503052632204	0.145629747572692
22	23	../simulations/n_vars_3\sim_data\sample_23\sim_output\1\sim_prot_1_1_r1.txt	66.77279559330852	212.2215008550388	0.08057563610097025
23	24	../simulations/n_vars_3\sim_data\sample_24\sim_output\1\sim_prot_1_1_r1.txt	312.6818363906695	648.2865250712866	0.04907377050721391
24	25	../simulations/n_vars_3\sim_data\sample_25\sim_output\1\sim_prot_1_1_r1.txt	151.0916847873137	344.5264827930753	0.04662671812974782
25	26	../simulations/n_vars_3\sim_data\sample_26\sim_output\1\sim_prot_1_1_r1.txt	308.3053168029689	233.7335872916915	0.07690873624587681
26	27	../simulations/n_vars_3\sim_data\sample_27\sim_output\1\sim_prot_1_1_r1.txt	99.3977022409527	263.2067385736363	0.02847692829060934
27	28	../simulations/n_vars_3\sim_data\sample_28\sim_output\1\sim_prot_1_1_r1.txt	82.51613754829197	199.7703407315021	0.1410556553084648
28	29	../simulations/n_vars_3\sim_data\sample_29\sim_output\1\sim_prot_1_1_r1.txt	128.0464215599239	176.9875055997045	0.04366795727894895
29	30	../simulations/n_vars_3\sim_data\sample_30\sim_output\1\sim_prot_1_1_r1.txt	166.2267757680631	381.344731168792	0.1833075597787664
30	31	../simulations/n_vars_3\sim_data\sample_31\sim_output\1\sim_prot_1_1_r1.txt	79.00368006324386	949.9722094474105	0.07096126355573838
31	32	../simulations/n_vars_3\sim_data\sample_32\sim_output\1\sim_prot_1_1_r1.txt	315.5137907205298	733.741452199887	0.06011342526048276
32	33	../simulations/n_vars_3\sim_data\sample_33\sim_output\1\sim_prot_1_1_r1.txt	193.561131942123	1025.18377552674	0.03055293976445611
33	34	../simulations/n_vars_3\sim_data\sample_34\sim_output\1\sim_prot_1_1_r1.txt	109.0383843418226	535.50103224833	0.0606668434616922
34	35	../simulations/n_vars_3\sim_data\sample_35\sim_output\1\sim_prot_1_1_r1.txt	383.085183019602	227.4069712979704	0.2547964094388662
35	36	../simulations/n_vars_3\sim_data\sample_36\sim_output\1\sim_prot_1_1_r1.txt	101.0058217378993	187.4911210278832	0.2508541317758895
36	37	../simulations/n_vars_3\sim_data\sample_37\sim_output\1\sim_prot_1_1_r1.txt	63.53861051433019	1041.313774846722	0.1553460151489508
37	38	../simulations/n_vars_3\sim_data\sample_38\sim_output\1\sim_prot_1_1_r1.txt	609.3735722761189	566.9600239669588	0.196014227491
38	39	../simulations/n_vars_3\sim_data\sample_39\sim_output\1\sim_prot_1_1_r1.txt	234.225518236424	208.8385638267399	0.09978410707913954
39	40	../simulations/n_vars_3\sim_data\sample_40\sim_output\1\sim_prot_1_1_r1.txt	522.6225599143507	219.1482847653214	0.1383254190168251
40	41	../simulations/n_vars_3\sim_data\sample_41\sim_output\1\sim_prot_1_1_r1.txt	356.3337505690412	557.684629752502	0.06228176408817397
41	42	../simulations/n_vars_3\sim_data\sample_42\sim_output\1\sim_prot_1_1_r1.txt	106.2429157725848	129.7690877761125	0.1581533710052569
42	43	../simulations/n_vars_3\sim_data\sample_43\sim_output\1\sim_prot_1_1_r1.txt	306.7683329863657	645.151277025777	0.02724245482550835
43	44	../simulations/n_vars_3\sim_data\sample_44\sim_output\1\sim_prot_1_1_r1.txt	209.1229650250856	804.3442261106879	0.0290175307242309
44	45	../simulations/n_vars_3\sim_data\sample_45\sim_output\1\sim_prot_1_1_r1.txt	181.5877785415518	393.1141859428525	0.03786444403861786
45	46	../simulations/n_vars_3\sim_data\sample_46\sim_output\1\sim_prot_1_1_r1.txt	87.80342533263968	155.1936934057954	0.02910572809561287
46	47	../simulations/n_vars_3\sim_data\sample_47\sim_output\1\sim_prot_1_1_r1.txt	217.5959136994195	495.5270096142843	0.1498510135602501
47	48	../simulations/n_vars_3\sim_data\sample_48\sim_output\1\sim_prot_1_1_r1.txt	187.0910865524522	179.3256370618542	0.2020916918953689
48	49	../simulations/n_vars_3\sim_data\sample_49\sim_output\1\sim_prot_1_1_r1.txt	92.04874375891679	340.7986563016685	0.1671952132272778
49	50	../simulations/n_vars_3\sim_data\sample_50\sim_output\1\sim_prot_1_1_r1.txt	310.0933495141232	224.3968650576575	0.2067834402224744
50	51	../simulations/n_vars_3\sim_data\sample_51\sim_output\1\sim_prot_1_1_r1.txt	132.7700320756769	491.2072542178584	0.03127687712077203
51	52	../simulations/n_vars_3\sim_data\sample_52\sim_output\1\sim_prot_1_1_r1.txt	70.68642196590675	622.0411615775529	0.03135787838514444
52	53	../simulations/n_vars_3\sim_data\sample_53\sim_output\1\sim_prot_1_1_r1.txt	309.4955052222011	579.8064746798298	0.04086486350318096
53	54	../simulations/n_vars_3\sim_data\sample_54\sim_output\1\sim_prot_1_1_r1.txt	374.4100862297717	125.1088105826195	0.2332729957721107
54	55	../simulations/n_vars_3\sim_data\sample_55\sim_output\1\sim_prot_1_1_r1.txt	244.2190135437234	117.6740765025054	0.05330535035472626
55	56	../simulations/n_vars_3\sim_data\sample_56\sim_output\1\sim_prot_1_1_r1.txt	470.3401564230385	122.2578999385147	0.06108463511735469
56	57	../simulations/n_vars_3\sim_data\sample_57\sim_output\1\sim_prot_1_1_r1.txt	620.336862634133	820.5246008672518	0.210037693579091
57	58	../simulations/n_vars_3\sim_data\sample_58\sim_output\1\sim_prot_1_1_r1.txt	271.8381599371498	377.3853328055507	0.03491820330951936
58	59	../simulations/n_vars_3\sim_data\sample_59\sim_output\1\sim_prot_1_1_r1.txt	118.6497998103355	291.78330450317	0.02963332654343407
59	60	../simulations/n_vars_3\sim_data\sample_60\sim_output\1\sim_prot_1_1_r1.txt	223.8942047729024	616.772281168568	0.02674501968767556
60	61	../simulations/n_vars_3\sim_data\sample_61\sim_output\1\sim_prot_1_1_r1.txt	63.90481173535105	137.7788217867494	0.03246349622688258
61	62	../simulations/n_vars_3\sim_data\sample_62\sim_output\1\sim_prot_1_1_r1.txt	118.9104412057321	442.623420286173	0.09576500474738396
62	64	../simulations/n_vars_3\sim_data\sample_64\sim_output\1\sim_prot_1_1_r1.txt	95.45938440276795	725.1969567522485	0.2469182651068239
63	65	../simulations/n_vars_3\sim_data\sample_65\sim_output\1\sim_prot_1_1_r1.txt	419.0873981912724	637.597296290538	0.02640954282961494
64	66	../simulations/n_vars_3\sim_data\sample_66\sim_output\1\sim_prot_1_1_r1.txt	378.5614354743488	877.6560182422436	0.0638057333181216
65	67	../simulations/n_vars_3\sim_data\sample_67\sim_output\1\sim_prot_1_1_r1.txt	318.2546474115522	159.817020812589	0.07774809366593698
66	68	../simulations/n_vars_3\sim_data\sample_68\sim_output\1\sim_prot_1_1_r1.txt	192.421881752988	274.4635851338511	0.2402169116745973
67	69	../simulations/n_vars_3\sim_data\sample_69\sim_output\1\sim_prot_1_1_r1.txt	99.84066437448529	111.8415874419953	0.1447472113420935
68	70	../simulations/n_vars_3\sim_data\sample_70\sim_output\1\sim_prot_1_1_r1.txt	351.9287641797653	413.525717080707	0.06844020744380405
69	71	../simulations/n_vars_3\sim_data\sample_71\sim_output\1\sim_prot_1_1_r1.txt	167.8338563062049	152.1045883924224	0.0799344203467065
70	72	../simulations/n_vars_3\sim_data\sample_72\sim_output\1\sim_prot_1_1_r1.txt	113.6271743958076	576.7792111702203	0.1748198297357668
71	73	../simulations/n_vars_3\sim_data\sample_73\sim_output\1\sim_prot_1_1_r1.txt	587.4382361225723	335.5014928826164	0.05629430653180669
72	74	../simulations/n_vars_3\sim_data\sample_74\sim_output\1\sim_prot_1_1_r1.txt	269.0846143321626	119.0559032541797	0.1270310225040539
73	75	../simulations/n_vars_3\sim_data\sample_75\sim_output\1\sim_prot_1_1_r1.txt	85.255280653393	119.4118530535579	0.184300217027319
74	76	../simulations/n_vars_3\sim_data\sample_76\sim_output\1\sim_prot_1_1_r1.txt	84.64381946269948	131.0736575308118	0.1877351458667211
75	77	../simulations/n_vars_3\sim_data\sample_77\sim_output\1\sim_prot_1_1_r1.txt	97.9350211167288	1013.254108262587	0.02663362342643357
76	78	../simulations/n_vars_3\sim_data\sample_78\sim_output\1\sim_prot_1_1_r1.txt	71.44240261710115	158.1852432114847	0.06697292450080651
77	79	../simulations/n_vars_3\sim_data\sample_79\sim_output\1\sim_prot_1_1_r1.txt	120.5373648955433	148.0726852100316	0.1048264014044671
78	80	../simulations/n_vars_3\sim_data\sample_80\sim_output\1\sim_prot_1_1_r1.txt	220.4651506576327	189.7538257258349	0.07043177231426759
